city,pct,numteams,champ,tooltip,ff,year
Toronto,0.643,1,0,['Toronto Maple Leafs 0.643 Conf./League Finalist'],0,1961
Montreal,0.657,1,0,['Montreal Canadiens 0.657 Conf./League Finalist'],0,1961
Cincinnati,0.594,2,0,"['Cincinnati Royals 0.538', 'Cincinnati Reds 0.594']",0,1962
Chicago,0.536,5,0,"['Chicago Packers 0.225', 'Chicago Bears 0.667', 'Chicago White Sox 0.515', 'Chicago Cubs 0.515', 'Chicago Black Hawks 0.536 Conf./League Finalist']",0,1962
Boston,0.271,4,1,"['Boston Celtics 0.75 Champions', 'Boston Patriots 0.8', 'Boston Red Sox 0.461', 'Boston Bruins 0.271']",1,1962
Philadelphia,0.491,3,0,"['Philadelphia Warriors 0.613', 'Philadelphia Eagles 0.273', 'Philadelphia Phillies 0.491']",0,1962
Detroit,0.429,4,0,"['Detroit Pistons 0.463', 'Detroit Lions 0.833', 'Detroit Tigers 0.515', 'Detroit Red Wings 0.429']",0,1962
New York 1,0.457,4,1,"['New York Knicks 0.363', 'New York Giants 0.833 Conf./League Finalist', 'New York Yankees 0.582 Champions', 'New York Rangers 0.457 Conf./League Finalist']",1,1962
Los Angeles 1,0.521,3,0,"['Los Angeles Lakers 0.675 Conf./League Finalist', 'Los Angeles Rams 0.091', 'Los Angeles Dodgers 0.521']",0,1962
St Louis,0.509,3,0,"['St. Louis Hawks 0.363', 'St. Louis Cardinals 0.364', 'St. Louis Cardinals 0.509']",0,1962
Syracuse,0.513,1,0,['Syracuse Nationals 0.513'],0,1962
Wisconsin,0.521,2,1,"['Green Bay Packers 0.917 Champions', 'Milwaukee Braves 0.521']",1,1962
Pittsburgh,0.564,2,0,"['Pittsburgh Steelers 0.667', 'Pittsburgh Pirates 0.564']",0,1962
San Diego,0.5,1,0,['San Diego Chargers 0.5'],0,1962
Washington DC,0.364,2,0,"['Washington Redskins 0.4', 'Washington Senators 0.364']",0,1962
Minneapolis,0.552,2,0,"['Minnesota Vikings 0.091', 'Minnesota Twins 0.552']",0,1962
Dallas,0.364,2,0,"['Dallas Texans 0.833', 'Dallas Cowboys 0.364 Conf./League Finalist']",0,1962
New York 2,0.582,2,0,"['New York Titans 0.167', 'New York Mets 0.582']",0,1962
Denver,0.667,1,0,['Denver Broncos 0.667'],0,1962
Cleveland,0.485,2,0,"['Cleveland Browns 0.545', 'Cleveland Indians 0.485']",0,1962
San Francisco,0.624,2,0,"['San Francisco 49ers 0.417', 'San Francisco Giants 0.624 Conf./League Finalist']",0,1962
Oakland,0.0,1,0,['Oakland Raiders 0.0'],0,1962
Buffalo,0.2,1,0,['Buffalo Bills 0.2'],0,1962
Baltimore,0.467,2,0,"['Baltimore Colts 0.417', 'Baltimore Orioles 0.467']",0,1962
Houston,0.388,2,0,"['Houston Oilers 0.833', 'Houston Astros 0.388']",0,1962
Los Angeles 2,0.521,1,0,['Los Angeles Angels of Anaheim 0.521'],0,1962
Kansas City,0.436,1,0,['Kansas City Athletics 0.436'],0,1962
Toronto,0.607,1,1,['Toronto Maple Leafs 0.607 Champions'],1,1962
Montreal,0.7,1,0,['Montreal Canadiens 0.7 Conf./League Finalist'],0,1962
Cincinnati,0.531,2,0,"['Cincinnati Royals 0.525', 'Cincinnati Reds 0.531']",0,1963
Chicago,0.579,5,1,"['Chicago Zephyrs 0.313', 'Chicago Bears 0.909 Champions', 'Chicago White Sox 0.58', 'Chicago Cubs 0.58', 'Chicago Black Hawks 0.579 Conf./League Finalist']",1,1963
Boston,0.321,4,1,"['Boston Celtics 0.725 Champions', 'Boston Patriots 0.667 Conf./League Finalist', 'Boston Red Sox 0.469', 'Boston Bruins 0.321']",1,1963
Detroit,0.55,4,0,"['Detroit Pistons 0.425', 'Detroit Lions 0.364', 'Detroit Tigers 0.488', 'Detroit Red Wings 0.55 Conf./League Finalist']",0,1963
New York 1,0.4,4,0,"['New York Knicks 0.263', 'New York Giants 0.75 Conf./League Finalist', 'New York Yankees 0.642 Conf./League Finalist', 'New York Rangers 0.4']",0,1963
Los Angeles 1,0.432,3,1,"['Los Angeles Lakers 0.663 Conf./League Finalist', 'Los Angeles Rams 0.417', 'Los Angeles Dodgers 0.432 Champions']",1,1963
San Francisco,0.543,3,0,"['San Francisco Warriors 0.388', 'San Francisco 49ers 0.083', 'San Francisco Giants 0.543']",0,1963
St Louis,0.574,3,0,"['St. Louis Hawks 0.6', 'St. Louis Cardinals 0.667', 'St. Louis Cardinals 0.574']",0,1963
Syracuse,0.6,1,0,['Syracuse Nationals 0.6'],0,1963
Wisconsin,0.519,2,0,"['Green Bay Packers 0.818', 'Milwaukee Braves 0.519']",0,1963
Pittsburgh,0.457,2,0,"['Pittsburgh Steelers 0.7', 'Pittsburgh Pirates 0.457']",0,1963
San Diego,0.5,1,0,['San Diego Chargers 0.5 Conf./League Finalist'],0,1963
Washington DC,0.346,2,0,"['Washington Redskins 0.167', 'Washington Senators 0.346']",0,1963
Minneapolis,0.562,2,0,"['Minnesota Vikings 0.364', 'Minnesota Twins 0.562']",0,1963
Philadelphia,0.537,2,0,"['Philadelphia Eagles 0.2', 'Philadelphia Phillies 0.537']",0,1963
Dallas,0.25,1,0,['Dallas Cowboys 0.25'],0,1963
New York 2,0.642,2,0,"['New York Jets 0.333', 'New York Mets 0.642']",0,1963
Denver,0.167,1,0,['Denver Broncos 0.167'],0,1963
Cleveland,0.488,2,0,"['Cleveland Browns 0.75', 'Cleveland Indians 0.488']",0,1963
Kansas City,0.451,2,0,"['Kansas City Chiefs 0.333', 'Kansas City Athletics 0.451']",0,1963
Oakland,1.0,1,0,['Oakland Raiders 1.0'],0,1963
Buffalo,0.5,1,0,['Buffalo Bills 0.5'],0,1963
Baltimore,0.531,2,0,"['Baltimore Colts 0.583', 'Baltimore Orioles 0.531']",0,1963
Houston,0.407,2,0,"['Houston Oilers 0.5', 'Houston Astros 0.407']",0,1963
Los Angeles 2,0.432,1,0,['Los Angeles Angels of Anaheim 0.432'],0,1963
Toronto,0.586,1,1,['Toronto Maple Leafs 0.586 Champions'],1,1963
Montreal,0.564,1,0,['Montreal Canadiens 0.564 Conf./League Finalist'],0,1963
Cincinnati,0.568,2,0,"['Cincinnati Royals 0.688', 'Cincinnati Reds 0.568']",0,1964
Boston,0.343,4,1,"['Boston Celtics 0.738 Champions', 'Boston Patriots 0.667', 'Boston Red Sox 0.444', 'Boston Bruins 0.343']",1,1964
Philadelphia,0.568,3,0,"['Philadelphia 76ers 0.425', 'Philadelphia Eagles 0.5', 'Philadelphia Phillies 0.568']",0,1964
Detroit,0.507,4,0,"['Detroit Pistons 0.288', 'Detroit Lions 0.6', 'Detroit Tigers 0.525', 'Detroit Red Wings 0.507 Conf./League Finalist']",0,1964
New York 1,0.386,4,0,"['New York Knicks 0.275', 'New York Giants 0.2', 'New York Yankees 0.611 Conf./League Finalist', 'New York Rangers 0.386']",0,1964
Los Angeles 1,0.506,3,0,"['Los Angeles Lakers 0.525', 'Los Angeles Rams 0.3', 'Los Angeles Dodgers 0.506']",0,1964
San Francisco,0.556,3,0,"['San Francisco Warriors 0.6 Conf./League Finalist', 'San Francisco 49ers 0.25', 'San Francisco Giants 0.556']",0,1964
St Louis,0.574,3,2,"['St. Louis Hawks 0.575', 'St. Louis Cardinals 0.8 Champions', 'St. Louis Cardinals 0.574 Champions']",2,1964
Baltimore,0.599,3,0,"['Baltimore Bullets 0.388', 'Baltimore Colts 0.833 Conf./League Finalist', 'Baltimore Orioles 0.599']",0,1964
Wisconsin,0.543,2,0,"['Green Bay Packers 0.545', 'Milwaukee Braves 0.543']",0,1964
Dallas,0.364,1,0,['Dallas Cowboys 0.364'],0,1964
Pittsburgh,0.494,2,0,"['Pittsburgh Steelers 0.417', 'Pittsburgh Pirates 0.494']",0,1964
San Diego,0.667,1,0,['San Diego Chargers 0.667 Conf./League Finalist'],0,1964
Washington DC,0.383,2,0,"['Washington Redskins 0.417', 'Washington Senators 0.383']",0,1964
Minneapolis,0.488,2,0,"['Minnesota Vikings 0.545', 'Minnesota Twins 0.488']",0,1964
New York 2,0.611,2,0,"['New York Jets 0.333', 'New York Mets 0.611']",0,1964
Chicago,0.6,4,0,"['Chicago Bears 0.417', 'Chicago White Sox 0.605', 'Chicago Cubs 0.605', 'Chicago Black Hawks 0.6 Conf./League Finalist']",0,1964
Denver,0.2,1,0,['Denver Broncos 0.2'],0,1964
Cleveland,0.488,2,1,"['Cleveland Browns 0.818 Champions', 'Cleveland Indians 0.488']",1,1964
Kansas City,0.352,2,0,"['Kansas City Chiefs 0.667', 'Kansas City Athletics 0.352']",0,1964
Oakland,0.4,1,0,['Oakland Raiders 0.4'],0,1964
Buffalo,0.833,1,0,['Buffalo Bills 0.833 Conf./League Finalist'],0,1964
Houston,0.407,2,0,"['Houston Oilers 0.167', 'Houston Astros 0.407']",0,1964
Los Angeles 2,0.506,1,0,['Los Angeles Angels of Anaheim 0.506'],0,1964
Toronto,0.557,1,1,['Toronto Maple Leafs 0.557 Champions'],1,1964
Montreal,0.607,1,0,['Montreal Canadiens 0.607 Conf./League Finalist'],0,1964
Cincinnati,0.549,2,0,"['Cincinnati Royals 0.6', 'Cincinnati Reds 0.549']",0,1965
Boston,0.343,4,1,"['Boston Celtics 0.775 Champions', 'Boston Patriots 0.333', 'Boston Red Sox 0.383', 'Boston Bruins 0.343']",1,1965
Philadelphia,0.525,3,0,"['Philadelphia 76ers 0.5', 'Philadelphia Eagles 0.417', 'Philadelphia Phillies 0.525']",0,1965
Detroit,0.621,4,0,"['Detroit Pistons 0.388', 'Detroit Lions 0.364', 'Detroit Tigers 0.549', 'Detroit Red Wings 0.621 Conf./League Finalist']",0,1965
New York 1,0.371,4,0,"['New York Knicks 0.388', 'New York Giants 0.583', 'New York Yankees 0.475', 'New York Rangers 0.371']",0,1965
Los Angeles 1,0.463,3,1,"['Los Angeles Lakers 0.613 Conf./League Finalist', 'Los Angeles Rams 0.167', 'Los Angeles Dodgers 0.463 Champions']",1,1965
San Francisco,0.586,3,0,"['San Francisco Warriors 0.213', 'San Francisco 49ers 0.545', 'San Francisco Giants 0.586']",0,1965
St Louis,0.494,3,0,"['St. Louis Hawks 0.563', 'St. Louis Cardinals 0.417', 'St. Louis Cardinals 0.494']",0,1965
Baltimore,0.58,3,0,"['Baltimore Bullets 0.463', 'Baltimore Colts 0.727', 'Baltimore Orioles 0.58']",0,1965
Wisconsin,0.531,2,1,"['Green Bay Packers 0.727 Champions', 'Milwaukee Braves 0.531']",1,1965
Dallas,0.5,1,0,['Dallas Cowboys 0.5'],0,1965
Pittsburgh,0.556,2,0,"['Pittsburgh Steelers 0.167', 'Pittsburgh Pirates 0.556']",0,1965
San Diego,0.8,1,0,['San Diego Chargers 0.8 Conf./League Finalist'],0,1965
Washington DC,0.432,2,0,"['Washington Redskins 0.5', 'Washington Senators 0.432']",0,1965
Minneapolis,0.63,2,0,"['Minnesota Vikings 0.417', 'Minnesota Twins 0.63 Conf./League Finalist']",0,1965
New York 2,0.475,2,0,"['New York Jets 0.5', 'New York Mets 0.475']",0,1965
Chicago,0.543,4,0,"['Chicago Bears 0.583', 'Chicago White Sox 0.586', 'Chicago Cubs 0.586', 'Chicago Black Hawks 0.543 Conf./League Finalist']",0,1965
Denver,0.0,1,0,['Denver Broncos 0.0'],0,1965
Cleveland,0.537,2,0,"['Cleveland Browns 0.917 Conf./League Finalist', 'Cleveland Indians 0.537']",0,1965
Kansas City,0.364,2,0,"['Kansas City Chiefs 0.8', 'Kansas City Athletics 0.364']",0,1965
Oakland,0.5,1,0,['Oakland Raiders 0.5'],0,1965
Buffalo,0.667,1,0,['Buffalo Bills 0.667 Conf./League Finalist'],0,1965
Houston,0.401,2,0,"['Houston Oilers 0.5', 'Houston Astros 0.401']",0,1965
Los Angeles 2,0.463,1,0,['Los Angeles Angels of Anaheim 0.463'],0,1965
Toronto,0.529,1,0,['Toronto Maple Leafs 0.529 Conf./League Finalist'],0,1965
Montreal,0.593,1,1,['Montreal Canadiens 0.593 Champions'],1,1965
Cincinnati,0.469,2,0,"['Cincinnati Royals 0.563', 'Cincinnati Reds 0.469']",0,1966
Boston,0.343,4,1,"['Boston Celtics 0.675 Champions', 'Boston Patriots 0.833', 'Boston Red Sox 0.444', 'Boston Bruins 0.343']",1,1966
Philadelphia,0.537,3,0,"['Philadelphia 76ers 0.688', 'Philadelphia Eagles 0.615', 'Philadelphia Phillies 0.537']",0,1966
Detroit,0.529,4,0,"['Detroit Pistons 0.275', 'Detroit Lions 0.273', 'Detroit Tigers 0.543', 'Detroit Red Wings 0.529 Conf./League Finalist']",0,1966
New York 1,0.336,4,0,"['New York Knicks 0.375', 'New York Giants 0.083', 'New York Yankees 0.432', 'New York Rangers 0.336']",0,1966
Los Angeles 1,0.494,3,0,"['Los Angeles Lakers 0.563 Conf./League Finalist', 'Los Angeles Rams 0.5', 'Los Angeles Dodgers 0.494 Conf./League Finalist']",0,1966
San Francisco,0.574,3,0,"['San Francisco Warriors 0.438', 'San Francisco 49ers 0.5', 'San Francisco Giants 0.574']",0,1966
St Louis,0.512,3,0,"['St. Louis Hawks 0.45', 'St. Louis Cardinals 0.583', 'St. Louis Cardinals 0.512']",0,1966
Baltimore,0.599,3,1,"['Baltimore Bullets 0.475', 'Baltimore Colts 0.583', 'Baltimore Orioles 0.599 Champions']",1,1966
Dallas,0.75,1,0,['Dallas Cowboys 0.75 Conf./League Finalist'],0,1966
Denver,0.167,1,0,['Denver Broncos 0.167'],0,1966
Pittsburgh,0.568,2,0,"['Pittsburgh Steelers 0.333', 'Pittsburgh Pirates 0.568']",0,1966
San Diego,0.333,1,0,['San Diego Chargers 0.333'],0,1966
Atlanta,0.286,1,0,['Atlanta Falcons 0.286'],0,1966
Wisconsin,0.525,2,1,"['Green Bay Packers 0.833 Champions', 'Milwaukee Braves 0.525']",1,1966
Miami,0.286,1,0,['Miami Dolphins 0.286'],0,1966
Kansas City,0.457,2,0,"['Kansas City Chiefs 0.833 Conf./League Finalist', 'Kansas City Athletics 0.457']",0,1966
Minneapolis,0.549,2,0,"['Minnesota Vikings 0.364', 'Minnesota Twins 0.549']",0,1966
Buffalo,0.75,1,0,['Buffalo Bills 0.75 Conf./League Finalist'],0,1966
Houston,0.444,2,0,"['Houston Oilers 0.125', 'Houston Astros 0.444']",0,1966
Washington DC,0.438,2,0,"['Washington Redskins 0.538', 'Washington Senators 0.438']",0,1966
New York 2,0.432,2,0,"['New York Jets 0.571', 'New York Mets 0.432']",0,1966
Chicago,0.586,4,0,"['Chicago Bears 0.4', 'Chicago White Sox 0.512', 'Chicago Cubs 0.512', 'Chicago Black Hawks 0.586 Conf./League Finalist']",0,1966
Cleveland,0.5,2,0,"['Cleveland Browns 0.692', 'Cleveland Indians 0.5']",0,1966
Oakland,0.667,1,0,['Oakland Raiders 0.667'],0,1966
Los Angeles 2,0.494,1,0,['Los Angeles Angels of Anaheim 0.494'],0,1966
Toronto,0.564,1,0,['Toronto Maple Leafs 0.564 Conf./League Finalist'],0,1966
Montreal,0.643,1,1,['Montreal Canadiens 0.643 Champions'],1,1966
Cincinnati,0.537,2,0,"['Cincinnati Royals 0.481', 'Cincinnati Reds 0.537']",0,1967
Chicago,0.671,5,0,"['Chicago Bulls 0.407', 'Chicago Bears 0.556', 'Chicago White Sox 0.549', 'Chicago Cubs 0.549', 'Chicago Black Hawks 0.671 Conf./League Finalist']",0,1967
Boston,0.314,4,0,"['Boston Celtics 0.741', 'Boston Patriots 0.375', 'Boston Red Sox 0.568 Conf./League Finalist', 'Boston Bruins 0.314']",0,1967
Philadelphia,0.506,3,1,"['Philadelphia 76ers 0.84 Champions', 'Philadelphia Eagles 0.556', 'Philadelphia Phillies 0.506']",1,1967
Detroit,0.414,4,0,"['Detroit Pistons 0.37', 'Detroit Lions 0.375', 'Detroit Tigers 0.562', 'Detroit Red Wings 0.414']",0,1967
New York 1,0.514,4,0,"['New York Knicks 0.444', 'New York Giants 0.7', 'New York Yankees 0.444', 'New York Rangers 0.514 Conf./League Finalist']",0,1967
Los Angeles 1,0.519,3,0,"['Los Angeles Lakers 0.444', 'Los Angeles Rams 0.889', 'Los Angeles Dodgers 0.519']",0,1967
San Francisco,0.562,3,0,"['San Francisco Warriors 0.543 Conf./League Finalist', 'San Francisco 49ers 0.4', 'San Francisco Giants 0.562']",0,1967
St Louis,0.623,3,2,"['St. Louis Hawks 0.481', 'St. Louis Cardinals 0.444 Champions', 'St. Louis Cardinals 0.623 Champions']",2,1967
Baltimore,0.469,3,0,"['Baltimore Bullets 0.247', 'Baltimore Colts 0.875', 'Baltimore Orioles 0.469']",0,1967
Dallas,0.8,1,0,['Dallas Cowboys 0.8 Conf./League Finalist'],0,1967
Denver,0.0,1,0,['Denver Broncos 0.0'],0,1967
Pittsburgh,0.5,2,0,"['Pittsburgh Steelers 0.111', 'Pittsburgh Pirates 0.5']",0,1967
San Diego,0.667,1,0,['San Diego Chargers 0.667'],0,1967
New York 2,0.444,2,0,"['New York Jets 0.833', 'New York Mets 0.444']",0,1967
Atlanta,0.475,2,0,"['Atlanta Falcons 0.1', 'Atlanta Braves 0.475']",0,1967
Wisconsin,0.667,1,1,['Green Bay Packers 0.667 Champions'],1,1967
Miami,0.25,1,0,['Miami Dolphins 0.25'],0,1967
Kansas City,0.383,2,0,"['Kansas City Chiefs 0.333', 'Kansas City Athletics 0.383']",0,1967
Minneapolis,0.562,2,0,"['Minnesota Vikings 0.143', 'Minnesota Twins 0.562']",0,1967
Buffalo,0.375,1,0,['Buffalo Bills 0.375'],0,1967
Houston,0.426,2,0,"['Houston Oilers 0.833', 'Houston Astros 0.426']",0,1967
Washington DC,0.469,2,0,"['Washington Redskins 0.444', 'Washington Senators 0.469']",0,1967
New Orleans,0.2,1,0,['New Orleans Saints 0.2'],0,1967
Cleveland,0.463,2,0,"['Cleveland Browns 0.7', 'Cleveland Indians 0.463']",0,1967
Oakland,1.0,1,0,['Oakland Raiders 1.0 Conf./League Finalist'],0,1967
Los Angeles 2,0.519,1,0,['Los Angeles Angels of Anaheim 0.519'],0,1967
Toronto,0.536,1,1,['Toronto Maple Leafs 0.536 Champions'],1,1967
Montreal,0.55,1,0,['Montreal Canadiens 0.55 Conf./League Finalist'],0,1967
Cincinnati,0.512,3,0,"['Cincinnati Royals 0.476', 'Cincinnati Bengals 0.125', 'Cincinnati Reds 0.512']",0,1968
Chicago,0.541,5,0,"['Chicago Bulls 0.354', 'Chicago Bears 0.5', 'Chicago White Sox 0.414', 'Chicago Cubs 0.414', 'Chicago Black Hawks 0.541 Conf./League Finalist']",0,1968
Boston,0.568,4,1,"['Boston Celtics 0.659 Champions', 'Boston Patriots 0.25', 'Boston Red Sox 0.531', 'Boston Bruins 0.568']",1,1968
San Diego,0.625,2,0,"['San Diego Rockets 0.183', 'San Diego Chargers 0.625']",0,1968
Philadelphia,0.493,4,0,"['Philadelphia 76ers 0.756', 'Philadelphia Eagles 0.1', 'Philadelphia Phillies 0.469', 'Philadelphia Flyers 0.493']",0,1968
Detroit,0.446,4,1,"['Detroit Pistons 0.488', 'Detroit Lions 0.444', 'Detroit Tigers 0.636 Champions', 'Detroit Red Wings 0.446']",1,1968
New York 1,0.608,4,0,"['New York Knicks 0.524', 'New York Giants 0.7', 'New York Yankees 0.512', 'New York Rangers 0.608']",0,1968
Los Angeles 1,0.486,4,0,"['Los Angeles Lakers 0.634 Conf./League Finalist', 'Los Angeles Rams 0.667', 'Los Angeles Dodgers 0.414', 'Los Angeles Kings 0.486']",0,1968
San Francisco,0.543,3,0,"['San Francisco Warriors 0.524', 'San Francisco 49ers 0.444', 'San Francisco Giants 0.543']",0,1968
Seattle,0.28,1,0,['Seattle SuperSonics 0.28'],0,1968
St Louis,0.473,4,0,"['St. Louis Hawks 0.683', 'St. Louis Cardinals 0.889 Conf./League Finalist', 'St. Louis Cardinals 0.599 Conf./League Finalist', 'St. Louis Blues 0.473 Conf./League Finalist']",0,1968
Baltimore,0.562,3,0,"['Baltimore Bullets 0.439', 'Baltimore Colts 1.0 Conf./League Finalist', 'Baltimore Orioles 0.562']",0,1968
Dallas,0.9,1,0,['Dallas Cowboys 0.9'],0,1968
Minneapolis,0.466,3,0,"['Minnesota Vikings 0.6', 'Minnesota Twins 0.488', 'Minnesota North Stars 0.466 Conf./League Finalist']",0,1968
Denver,0.125,1,0,['Denver Broncos 0.125'],0,1968
Pittsburgh,0.453,3,0,"['Pittsburgh Steelers 0.111', 'Pittsburgh Pirates 0.494', 'Pittsburgh Penguins 0.453']",0,1968
New York 2,0.512,2,1,"['New York Jets 0.875 Champions', 'New York Mets 0.512']",1,1968
Atlanta,0.5,2,0,"['Atlanta Falcons 0.1', 'Atlanta Braves 0.5']",0,1968
Wisconsin,0.222,1,0,['Green Bay Packers 0.222'],0,1968
Miami,0.571,1,0,['Miami Dolphins 0.571'],0,1968
Kansas City,0.875,1,0,['Kansas City Chiefs 0.875'],0,1968
Buffalo,0.143,1,0,['Buffalo Bills 0.143'],0,1968
Houston,0.444,2,0,"['Houston Oilers 0.625', 'Houston Astros 0.444']",0,1968
Washington DC,0.401,2,0,"['Washington Redskins 0.3', 'Washington Senators 0.401']",0,1968
New Orleans,0.3,1,0,['New Orleans Saints 0.3'],0,1968
Cleveland,0.531,2,0,"['Cleveland Browns 0.7 Conf./League Finalist', 'Cleveland Indians 0.531']",0,1968
Oakland,0.318,3,0,"['Oakland Raiders 0.75 Conf./League Finalist', 'Oakland Athletics 0.506', 'Oakland Seals 0.318']",0,1968
Los Angeles 2,0.414,1,0,['Los Angeles Angels of Anaheim 0.414'],0,1968
Toronto,0.514,1,0,['Toronto Maple Leafs 0.514'],0,1968
Montreal,0.635,1,1,['Montreal Canadiens 0.635 Champions'],1,1968
Cincinnati,0.549,3,0,"['Cincinnati Royals 0.5', 'Cincinnati Bengals 0.375', 'Cincinnati Reds 0.549']",0,1969
Phoenix,0.195,1,0,['Phoenix Suns 0.195'],0,1969
Chicago,0.507,5,0,"['Chicago Bulls 0.402', 'Chicago Bears 0.0', 'Chicago White Sox 0.42', 'Chicago Cubs 0.42', 'Chicago Black Hawks 0.507']",0,1969
